n	gene	uniprot	family	pdb_id	chain	resolution_A	unp_coverage	n_residues
80	IL33	O95760	IL1_family	9X0J	A	2.57	0.58	150
81	IL17A	Q16552	IL17	5HI4	A	1.80	1.00	89
82	IL22	Q9GZX6	IL10_family	3DLQ	I	1.90	1.00	131
83	IL23A	Q9NPF7	IL6_family	5MJ3	B	1.74	1.00	155
84	TNFSF10	P50591	TNF_superfamily	1DG6	A	1.30	0.68	149
85	TNFSF13B	Q9Y275	TNF_superfamily	1OSG	A	3.00	0.72	144
86	CD40LG	P29965	TNF_superfamily	6W9G	A	1.82	0.56	137
87	LTA	P01374	TNF_superfamily	1TNR	A	2.85	0.84	144
88	HBB	P68871	globin	1DXT	B	1.70	1.00	147
89	MB	P02144	globin	3RGK	A	1.65	0.99	149
90	CYCS	P99999	cytochrome	5TY3	A	1.25	0.99	104
91	UBC	P0CG48	ubiquitin	7YUI	A	2.60	0.44	305
92	SUMO1	P63165	ubiquitin_like	6XOG	C	1.98	1.00	62
93	NEDD8	Q15843	ubiquitin_like	4FBJ	B	1.60	1.00	74
94	PIN1	Q13526	WW_PPIase	1PIN	A	1.35	1.00	155
95	FKBP1A	P62942	immunophilin	8X6P	A	1.05	1.00	108
96	THPO	P40225	four_helix_cytokine	1V7M	V	2.51	0.49	145
